ingredient_id,name
702,".5 oz. chocolate"
2150,".5 oz. chocolate"
3598,".5 oz. chocolate"
1438,"& bell pepper"
2886,"& bell pepper"
4334,"& bell pepper"
522,"½ cumin"
1970,"½ cumin"
3418,"½ cumin"
520,"½ oregano"
1968,"½ oregano"
3416,"½ oregano"
518,"½ pepper"
1966,"½ pepper"
3414,"½ pepper"
533,"½ salt"
1981,"½ salt"
3429,"½ salt"
524,"¼ lime juice"
1972,"¼ lime juice"
3420,"¼ lime juice"
526,"¼ olive oil"
1974,"¼ olive oil"
3422,"¼ olive oil"
1396,"¾ pearl barley"
2844,"¾ pearl barley"
4292,"¾ pearl barley"
397,"a cauliflower"
1845,"a cauliflower"
3293,"a cauliflower"
921,"a couple of pepper flakes"
2369,"a couple of pepper flakes"
3817,"a couple of pepper flakes"
980,"a little olive oil to brush the potatoes"
2428,"a little olive oil to brush the potatoes"
3876,"a little olive oil to brush the potatoes"
774,"a package of spinach"
2222,"a package of spinach"
3670,"a package of spinach"
835,"a semi-smoked sausage"
2283,"a semi-smoked sausage"
3731,"a semi-smoked sausage"
604,"a squirt sriracha"
2052,"a squirt sriracha"
3500,"a squirt sriracha"
674,"acorn squash"
2122,"acorn squash"
3570,"acorn squash"
1344,"acorn squashes"
2792,"acorn squashes"
4240,"acorn squashes"
1393,"active yeast"
2841,"active yeast"
4289,"active yeast"
811,"add pepper"
2259,"add pepper"
3707,"add pepper"
572,"additional scallion tops"
2020,"additional scallion tops"
3468,"additional scallion tops"
266,"additional toppings: avocado"
1714,"additional toppings: avocado"
3162,"additional toppings: avocado"
1145,"agar agar flakes"
2593,"agar agar flakes"
4041,"agar agar flakes"
1158,"agar agar powder"
2606,"agar agar powder"
4054,"agar agar powder"
1134,"agar flakes"
2582,"agar flakes"
4030,"agar flakes"
1128,agar-agar
2576,agar-agar
4024,agar-agar
1140,"agar-agar powder"
2588,"agar-agar powder"
4036,"agar-agar powder"
34,agave
1482,agave
2930,agave
176,"agave nectar"
1624,"agave nectar"
3072,"agave nectar"
985,"agave syrup"
2433,"agave syrup"
3881,"agave syrup"
180,"alaskan salmon filets"
1628,"alaskan salmon filets"
3076,"alaskan salmon filets"
823,"alaskan salmon fillets"
2271,"alaskan salmon fillets"
3719,"alaskan salmon fillets"
1103,"alfalfa sprouts"
2551,"alfalfa sprouts"
3999,"alfalfa sprouts"
739,"all purpose flour"
2187,"all purpose flour"
3635,"all purpose flour"
1287,"all the tabasco sauce you handle"
2735,"all the tabasco sauce you handle"
4183,"all the tabasco sauce you handle"
676,allspice
2124,allspice
3572,allspice
754,"almond butter"
2202,"almond butter"
3650,"almond butter"
717,"almond flour"
2165,"almond flour"
3613,"almond flour"
46,"almond milk"
1494,"almond milk"
2942,"almond milk"
2,Almonds
1450,Almonds
2898,Almonds
1091,"alouette spinach & artichoke spread"
2539,"alouette spinach & artichoke spread"
3987,"alouette spinach & artichoke spread"
1233,"aluminum free baking powder"
2681,"aluminum free baking powder"
4129,"aluminum free baking powder"
1223,"aluminum free baking soda"
2671,"aluminum free baking soda"
4119,"aluminum free baking soda"
610,amaranth
2058,amaranth
3506,amaranth
1041,amaretto
2489,amaretto
3937,amaretto
798,"an avocado"
2246,"an avocado"
3694,"an avocado"
527,"anaheim peppers"
1975,"anaheim peppers"
3423,"anaheim peppers"
1063,"ancho chile powder"
2511,"ancho chile powder"
3959,"ancho chile powder"
1367,"ancho chili powder"
2815,"ancho chili powder"
4263,"ancho chili powder"
932,anchovies
2380,anchovies
3828,anchovies
1296,andouille
2744,andouille
4192,andouille
1294,"andouille sausage"
2742,"andouille sausage"
4190,"andouille sausage"
955,"angel hair pasta"
2403,"angel hair pasta"
3851,"angel hair pasta"
1165,"another japanese noodle"
2613,"another japanese noodle"
4061,"another japanese noodle"
469,"another slug of blood orange olive oil"
1917,"another slug of blood orange olive oil"
3365,"another slug of blood orange olive oil"
1250,"ap flour"
2698,"ap flour"
4146,"ap flour"
1352,"ap flour/maida"
2800,"ap flour/maida"
4248,"ap flour/maida"
51,apple
1499,apple
2947,apple
841,"apple cider"
2289,"apple cider"
3737,"apple cider"
496,"apple cider vinegar"
1944,"apple cider vinegar"
3392,"apple cider vinegar"
903,"apple vinegar"
2351,"apple vinegar"
3799,"apple vinegar"
145,applesauce
1593,applesauce
3041,applesauce
447,apricots
1895,apricots
3343,apricots
452,"apricots soaked in"
1900,"apricots soaked in"
3348,"apricots soaked in"
75,"arënkha msc"
1523,"arënkha msc"
2971,"arënkha msc"
489,"arënkha msc caviar substitute"
1937,"arënkha msc caviar substitute"
3385,"arënkha msc caviar substitute"
1172,"around 10 sized eating apples"
2620,"around 10 sized eating apples"
4068,"around 10 sized eating apples"
1329,"arrowroot powder"
2777,"arrowroot powder"
4225,"arrowroot powder"
1382,"arrowroot starch"
2830,"arrowroot starch"
4278,"arrowroot starch"
563,artichoke
2011,artichoke
3459,artichoke
780,"artichoke hearts"
2228,"artichoke hearts"
3676,"artichoke hearts"
760,"artificial sweetener"
2208,"artificial sweetener"
3656,"artificial sweetener"
828,arugula
2276,arugula
3724,arugula
603,asafetida
2051,asafetida
3499,asafetida
667,asafoetida
2115,asafoetida
3563,asafoetida
84,"asiago cheese"
1532,"asiago cheese"
2980,"asiago cheese"
1415,"asian chili garlic paste"
2863,"asian chili garlic paste"
4311,"asian chili garlic paste"
1175,"asian rice noodles"
2623,"asian rice noodles"
4071,"asian rice noodles"
1419,"asian soba wheat"
2867,"asian soba wheat"
4315,"asian soba wheat"
94,asparagus
1542,asparagus
2990,asparagus
1007,"asparagus spears"
2455,"asparagus spears"
3903,"asparagus spears"
635,aubergine
2083,aubergine
3531,aubergine
282,avocado
1730,avocado
3178,avocado
525,"avocado oil"
1973,"avocado oil"
3421,"avocado oil"
358,avocados
1806,avocados
3254,avocados
487,"avocados into cubes"
1935,"avocados into cubes"
3383,"avocados into cubes"
188,"baby arugula"
1636,"baby arugula"
3084,"baby arugula"
666,"baby arugula leaves"
2114,"baby arugula leaves"
3562,"baby arugula leaves"
492,"baby beets"
1940,"baby beets"
3388,"baby beets"
347,"baby bella mushrooms"
1795,"baby bella mushrooms"
3243,"baby bella mushrooms"
1435,"baby bok choy"
2883,"baby bok choy"
4331,"baby bok choy"
421,"baby brussell sprouts"
1869,"baby brussell sprouts"
3317,"baby brussell sprouts"
1163,"baby carrot"
2611,"baby carrot"
4059,"baby carrot"
686,"baby carrots"
2134,"baby carrots"
3582,"baby carrots"
1094,"baby carrots 4 stalks celery 1 can mushrooms 1 piece pepper 1 cup flour and 3 tbsp 2 tablespoons bee"
2542,"baby carrots 4 stalks celery 1 can mushrooms 1 piece pepper 1 cup flour and 3 tbsp 2 tablespoons bee"
3990,"baby carrots 4 stalks celery 1 can mushrooms 1 piece pepper 1 cup flour and 3 tbsp 2 tablespoons bee"
875,"baby corns"
2323,"baby corns"
3771,"baby corns"
31,"baby kale"
1479,"baby kale"
2927,"baby kale"
224,"baby portabella mushrooms"
1672,"baby portabella mushrooms"
3120,"baby portabella mushrooms"
956,"baby portobella mushrooms"
2404,"baby portobella mushrooms"
3852,"baby portobella mushrooms"
517,"baby portobello mushrooms"
1965,"baby portobello mushrooms"
3413,"baby portobello mushrooms"
1351,"baby potatoes"
2799,"baby potatoes"
4247,"baby potatoes"
16,"baby spinach"
1464,"baby spinach"
2912,"baby spinach"
1289,"baby spinach leaves"
2737,"baby spinach leaves"
4185,"baby spinach leaves"
539,"baby/lolo lettuce"
1987,"baby/lolo lettuce"
3435,"baby/lolo lettuce"
340,bacon
1788,bacon
3236,bacon
1271,baguette
2719,baguette
4167,baguette
1012,"bailey's irish cream"
2460,"bailey's irish cream"
3908,"bailey's irish cream"
1002,"baked kabocha squash"
2450,"baked kabocha squash"
3898,"baked kabocha squash"
752,"bakers chocolate"
2200,"bakers chocolate"
3648,"bakers chocolate"
1047,"baking cocoa"
2495,"baking cocoa"
3943,"baking cocoa"
1086,"baking potatoes"
2534,"baking potatoes"
3982,"baking potatoes"
210,"baking powder"
1658,"baking powder"
3106,"baking powder"
165,"baking soda"
1613,"baking soda"
3061,"baking soda"
866,"balsamic vinaigrette"
2314,"balsamic vinaigrette"
3762,"balsamic vinaigrette"
280,"balsamic vinegar"
1728,"balsamic vinegar"
3176,"balsamic vinegar"
560,"balsamic vinegrette salad dressing"
2008,"balsamic vinegrette salad dressing"
3456,"balsamic vinegrette salad dressing"
1434,"bamboo skewers"
2882,"bamboo skewers"
4330,"bamboo skewers"
37,banana
1485,banana
2933,banana
962,"banana leaves"
2410,"banana leaves"
3858,"banana leaves"
19,bananas
1467,bananas
2915,bananas
506,"barbecue sauce"
1954,"barbecue sauce"
3402,"barbecue sauce"
499,"barbecue seasoning"
1947,"barbecue seasoning"
3395,"barbecue seasoning"
691,barley
2139,barley
3587,barley
1398,"barley flour"
2846,"barley flour"
4294,"barley flour"
52,basil
1500,basil
2948,basil
478,"basil - greek basil if you have it"
1926,"basil - greek basil if you have it"
3374,"basil - greek basil if you have it"
505,"basil leaves"
1953,"basil leaves"
3401,"basil leaves"
624,"basil tagliatelle"
2072,"basil tagliatelle"
3520,"basil tagliatelle"
609,"basil-infused olive oil"
2057,"basil-infused olive oil"
3505,"basil-infused olive oil"
946,"basil& oregano"
2394,"basil& oregano"
3842,"basil& oregano"
1350,"basmati rice soaked in water"
2798,"basmati rice soaked in water"
4246,"basmati rice soaked in water"
286,"bay leaf"
1734,"bay leaf"
3182,"bay leaf"
318,"bay leaves"
1766,"bay leaves"
3214,"bay leaves"
1168,"bean sprouts"
2616,"bean sprouts"
4064,"bean sprouts"
233,beans
1681,beans
3129,beans
1085,"beef bouillon"
2533,"beef bouillon"
3981,"beef bouillon"
873,"beef bouillon cubes"
2321,"beef bouillon cubes"
3769,"beef bouillon cubes"
258,"beef broth"
1706,"beef broth"
3154,"beef broth"
1113,"beef liver"
2561,"beef liver"
4009,"beef liver"
880,"beef short ribs"
2328,"beef short ribs"
3776,"beef short ribs"
1193,"beef stock"
2641,"beef stock"
4089,"beef stock"
364,"beef strip steaks"
1812,"beef strip steaks"
3260,"beef strip steaks"
1356,"beefsteak tomato"
2804,"beefsteak tomato"
4252,"beefsteak tomato"
386,beets
