rating_id,user_id,recipe_id,rating,feedback
1,84,232,3,"This is feedback for recipe 232 by user 84."
2,84,96,1,"This is feedback for recipe 96 by user 84."
3,84,313,4,"This is feedback for recipe 313 by user 84."
4,84,110,3,"This is feedback for recipe 110 by user 84."
5,98,78,3,"This is feedback for recipe 78 by user 98."
6,98,357,4,"This is feedback for recipe 357 by user 98."
7,98,10,1,"This is feedback for recipe 10 by user 98."
8,98,484,3,"This is feedback for recipe 484 by user 98."
9,67,432,4,"This is feedback for recipe 432 by user 67."
10,67,202,5,"This is feedback for recipe 202 by user 67."
11,67,292,1,"This is feedback for recipe 292 by user 67."
12,67,350,1,"This is feedback for recipe 350 by user 67."
13,55,401,4,"This is feedback for recipe 401 by user 55."
14,55,169,4,"This is feedback for recipe 169 by user 55."
15,55,405,4,"This is feedback for recipe 405 by user 55."
16,55,300,3,"This is feedback for recipe 300 by user 55."
17,55,400,4,"This is feedback for recipe 400 by user 55."
18,55,136,2,"This is feedback for recipe 136 by user 55."
19,55,403,5,"This is feedback for recipe 403 by user 55."
20,55,415,3,"This is feedback for recipe 415 by user 55."
21,55,263,1,"This is feedback for recipe 263 by user 55."
22,55,422,5,"This is feedback for recipe 422 by user 55."
23,55,77,5,"This is feedback for recipe 77 by user 55."
24,75,399,5,"This is feedback for recipe 399 by user 75."
25,75,22,4,"This is feedback for recipe 22 by user 75."
26,75,420,5,"This is feedback for recipe 420 by user 75."
27,75,483,4,"This is feedback for recipe 483 by user 75."
28,75,202,4,"This is feedback for recipe 202 by user 75."
29,75,64,4,"This is feedback for recipe 64 by user 75."
30,75,34,5,"This is feedback for recipe 34 by user 75."
31,92,325,5,"This is feedback for recipe 325 by user 92."
32,92,57,1,"This is feedback for recipe 57 by user 92."
33,92,303,5,"This is feedback for recipe 303 by user 92."
34,92,493,2,"This is feedback for recipe 493 by user 92."
35,92,437,4,"This is feedback for recipe 437 by user 92."
36,92,134,2,"This is feedback for recipe 134 by user 92."
37,92,448,5,"This is feedback for recipe 448 by user 92."
38,97,225,5,"This is feedback for recipe 225 by user 97."
39,97,231,4,"This is feedback for recipe 231 by user 97."
40,97,128,1,"This is feedback for recipe 128 by user 97."
41,97,48,2,"This is feedback for recipe 48 by user 97."
42,97,266,2,"This is feedback for recipe 266 by user 97."
43,97,467,2,"This is feedback for recipe 467 by user 97."
44,62,362,4,"This is feedback for recipe 362 by user 62."
45,62,99,2,"This is feedback for recipe 99 by user 62."
46,62,434,2,"This is feedback for recipe 434 by user 62."
47,62,45,2,"This is feedback for recipe 45 by user 62."
48,62,358,4,"This is feedback for recipe 358 by user 62."
49,62,24,3,"This is feedback for recipe 24 by user 62."
50,95,191,4,"This is feedback for recipe 191 by user 95."
51,95,297,4,"This is feedback for recipe 297 by user 95."
52,95,132,2,"This is feedback for recipe 132 by user 95."
53,95,459,3,"This is feedback for recipe 459 by user 95."
54,90,385,4,"This is feedback for recipe 385 by user 90."
55,90,135,4,"This is feedback for recipe 135 by user 90."
56,90,275,1,"This is feedback for recipe 275 by user 90."
57,90,375,4,"This is feedback for recipe 375 by user 90."
58,90,357,1,"This is feedback for recipe 357 by user 90."
59,90,139,5,"This is feedback for recipe 139 by user 90."
60,90,224,4,"This is feedback for recipe 224 by user 90."
61,64,348,4,"This is feedback for recipe 348 by user 64."
62,64,468,1,"This is feedback for recipe 468 by user 64."
63,64,25,5,"This is feedback for recipe 25 by user 64."
64,64,442,2,"This is feedback for recipe 442 by user 64."
65,96,459,2,"This is feedback for recipe 459 by user 96."
66,96,245,5,"This is feedback for recipe 245 by user 96."
67,96,54,5,"This is feedback for recipe 54 by user 96."
68,96,343,4,"This is feedback for recipe 343 by user 96."
69,61,397,4,"This is feedback for recipe 397 by user 61."
70,61,182,4,"This is feedback for recipe 182 by user 61."
71,61,443,3,"This is feedback for recipe 443 by user 61."
72,61,414,1,"This is feedback for recipe 414 by user 61."
73,83,411,5,"This is feedback for recipe 411 by user 83."
74,83,407,2,"This is feedback for recipe 407 by user 83."
75,83,145,2,"This is feedback for recipe 145 by user 83."
76,83,283,3,"This is feedback for recipe 283 by user 83."
77,83,52,4,"This is feedback for recipe 52 by user 83."
78,83,54,2,"This is feedback for recipe 54 by user 83."
79,83,232,3,"This is feedback for recipe 232 by user 83."
80,70,149,4,"This is feedback for recipe 149 by user 70."
81,70,145,1,"This is feedback for recipe 145 by user 70."
82,70,112,4,"This is feedback for recipe 112 by user 70."
83,70,343,3,"This is feedback for recipe 343 by user 70."
84,70,307,3,"This is feedback for recipe 307 by user 70."
85,70,216,3,"This is feedback for recipe 216 by user 70."
86,70,339,4,"This is feedback for recipe 339 by user 70."
87,93,309,3,"This is feedback for recipe 309 by user 93."
88,93,358,4,"This is feedback for recipe 358 by user 93."
89,93,455,5,"This is feedback for recipe 455 by user 93."
90,93,304,3,"This is feedback for recipe 304 by user 93."
91,74,393,3,"This is feedback for recipe 393 by user 74."
92,74,439,2,"This is feedback for recipe 439 by user 74."
93,74,20,3,"This is feedback for recipe 20 by user 74."
94,74,233,1,"This is feedback for recipe 233 by user 74."
95,53,283,5,"This is feedback for recipe 283 by user 53."
96,53,14,2,"This is feedback for recipe 14 by user 53."
97,77,329,1,"This is feedback for recipe 329 by user 77."
98,77,272,2,"This is feedback for recipe 272 by user 77."
99,77,379,1,"This is feedback for recipe 379 by user 77."
100,77,278,2,"This is feedback for recipe 278 by user 77."
101,87,122,1,"This is feedback for recipe 122 by user 87."
