Nutrients
nutrient_id,nutrient,alternative name,recommended_amount,Unit
1,Fat,,78,g
2,Trans Fat,,,g
3,Saturated Fat,,,g
4,Mono Unsaturated Fat,,,g
5,Poly Unsaturated Fat,Omega-3,,g
6,Poly Unsaturated Fat,Omega-6,,g
7,Protein,Protein,60,g
8,Cholesterol,Cholesterol,300,mg
9,Carbohydrates,Carbohydrates,130,g
10,Fiber,Fiber,28,g
11,Sugar,Sugar,,g
12,Sodium,Sodium,2300,mg
13,Caffein,Caffein,200,mg
14,Manganese,Manganese,2.3,mg
15,Potassium,Potassium,4700,mg
16,Magnesium,Magnesium,420,mg
17,Calcium,Calcium,1300,mg
18,Copper,Copper,0.9,mg
19,Zinc,Zinc,8,mg
20,Phosphorus,Phosphorus,1250,mg
21,Fluoride,Fluoride,,mg
22,Choline,Choline,550,mg
23,Iron,Iron,18,mg
24,Vitamin A,Vitamin A,3000,IU
25,Vitamin B1,Thiamine,1.2,mg
26,Vitamin B2,Riboflavin,1.3,mg
27,Vitamin B3,Niacin,15,mg
28,Vitamin B5,Pantothenic Acid,5,mg
29,Vitamin B6,Vitamin B6,1.7,mg
30,Vitamin B7,Biotin,30,mcg
31,Vitamin B12,Vitamin B12,2.4,mcg
32,Vitamin C,Vitamin C,90,mg
33,Vitamin D,Vitamin D,15,mcg
34,Vitamin E,Vitamin E,15,mg
35,Vitamin K,Vitamin K,120,mcg
36,Folate,Folate,400,mcg
37,Folic Acid,Folic Acid,400,mcg
38,Iodine,Iodine,150,mcg
39,Selenium,Selenium,55,mcg
40,,,,
