emotional_goal,nutrient,recommended_amount,suggested_ingredients
Reduce Anxiety,Magnesium,310-420mg daily,"Spinach, Almonds, Dark Chocolate (70%+ cocoa), Pumpkin Seeds, Black Beans, Avocado, Swiss Chard"
Reduce Anxiety,Omega-3 Fatty Acids,250-500mg daily,"Salmon, Chia Seeds, Walnuts, Sardines, Mackerel, Flaxseeds, Hemp Seeds"
Reduce Anxiety,L-Theanine,200-400mg daily,"Green Tea, Black Tea, Mushrooms, Matcha"
Reduce Anxiety,Zinc,8-11mg daily,"Green Tea, Black Tea, Mushrooms, Matcha"
Reduce Anxiety,Gamma-Aminobutyric Acid (GABA),100-200mg daily,"Fermented Foods, Kimchi, Yogurt, Kefir, Tempeh, White Tea"
Boost Mood/Combat Depression,Vitamin D,600-800 IU daily,"Fatty Fish, Egg Yolks, Fortified Milk, Mushrooms, Cod Liver Oil, Beef Liver, Fortified Orange Juice"
Boost Mood/Combat Depression,Tryptophan,250-425mg daily,"Turkey, Eggs, Cheese, Nuts, Seeds, Chicken, Tofu, Pumpkin Seeds"
Boost Mood/Combat Depression,Selenium,55mcg daily,"Brazil Nuts, Tuna, Halibut, Sardines, Grass-fed Beef, Shiitake Mushrooms"
Boost Mood/Combat Depression,Zinc,8-11mg daily,"Oysters, Beef, Pumpkin Seeds, Lentils, Chickpeas, Dark Chocolate"
Reduce Stress,Vitamin B Complex,Various (B1-B12),"Whole Grains, Legumes, Nutritional Yeast, Lean Meats, Sunflower Seeds, Spirulina, Avocado"
Reduce Stress,Vitamin C,65-90mg daily,"Bell Peppers, Citrus Fruits, Strawberries, Broccoli, Kiwi, Brussels Sprouts, Papaya"
Reduce Stress,Adaptogens,Varies,"Ashwagandha, Rhodiola Rosea, Holy Basil, Ginseng, Reishi Mushrooms"
Reduce Stress,Probiotics,1-10 billion CFU daily,"Yogurt, Kefir, Kombucha, Sauerkraut, Kimchi, Miso, Tempeh"
Improve Focus/Mental Clarity,Choline,425-550mg daily,"Eggs, Liver, Chicken, Soybeans, Beef, Quinoa, Broccoli"
Improve Focus/Mental Clarity,Iron,8-18mg daily,"Red Meat, Spinach, Lentils, Quinoa, Dark Chocolate, Tofu, Pumpkin Seeds"
Improve Focus/Mental Clarity,Phosphatidylserine,100-300mg daily,"Soy Lecithin, Atlantic Mackerel, Chicken Heart, White Beans"
Improve Focus/Mental Clarity,Ginkgo Biloba,120-240mg daily,"Ginkgo Leaf Extract, Ginkgo Supplements"
Enhance Energy,Vitamin B12,2.4mcg daily,"Beef, Salmon, Fortified Cereals, Dairy Products, Nutritional Yeast, Clams, Trout"
Enhance Energy,Coenzyme Q10,100-200mg daily,"Organ Meats, Sardines, Mackerel, Nuts, Beef, Sesame Seeds, Broccoli"
Enhance Energy,Creatine,3-5g daily,"Beef, Chicken, Pork, Fish, Creatine Supplements"
Enhance Energy,Iron,8-18mg daily,"Red Meat, Spinach, Lentils, Dark Chicken, Oysters, Pumpkin Seeds"
