Recipe ID,Calories,Fat,Trans Fat,Saturated Fat,Mono Unsaturated Fat,Poly Unsaturated Fat,Protein,Cholesterol,Carbohydrates,Net Carbohydrates,Alcohol,Fiber,Sugar,Sodium,Caffein,Manganese,Potassium,Magnesium,Calcium,Copper,Zinc,Phosphorus,Fluoride,Choline,Iron,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Folate,Folic Acid,Iodine,Selenium
1,281.18,12.94,NULL,0.93,NULL,NULL,10.33,0.0,33.78,26.7,0.34,7.08,20.05,252.79,NULL,1.28,521.94,89.11,348.07,0.35,0.95,145.22,NULL,NULL,2.79,1946.24,0.12,0.27,1.96,0.47,0.37,NULL,59.6,NULL,4.41,43.41,57.63,NULL,NULL,3.59
2,462.09,3.99,NULL,2.28,NULL,NULL,23.89,7.42,96.03,79.47,0.0,16.56,23.67,336.24,NULL,1.62,3106.58,287.81,512.26,0.68,2.75,421.66,NULL,NULL,8.22,82535.22,0.96,0.77,9.99,5.43,1.58,0.61,253.46,2.31,13.91,12.4,258.27,NULL,NULL,54.38
3,654.73,44.88,NULL,19.26,NULL,NULL,49.45,1038.7,12.9,9.39,0.0,3.51,5.84,964.99,NULL,0.35,858.19,74.86,593.63,0.29,6.0,854.37,NULL,NULL,5.64,4634.5,0.22,1.59,1.47,4.88,0.8,2.95,132.74,5.63,4.78,88.61,214.12,NULL,NULL,98.81
4,779.48,35.76,NULL,6.9,NULL,NULL,19.58,0.0,103.92,96.35,0.0,7.57,65.38,364.08,NULL,1.3,1018.05,144.26,219.71,0.59,2.15,260.77,NULL,NULL,2.42,539.26,0.21,0.51,13.28,1.09,1.01,1.27,26.24,1.42,9.07,NULL,126.18,NULL,NULL,8.24
5,469.98,13.84,NULL,2.26,NULL,NULL,19.36,3.67,72.94,63.65,0.0,9.29,15.5,131.03,NULL,3.82,629.65,264.31,208.39,0.43,3.66,560.91,NULL,NULL,4.21,249.9,0.54,0.29,3.09,1.19,0.24,0.71,1.7,1.35,1.67,4.95,46.44,NULL,NULL,31.64
6,386.62,26.07,NULL,5.29,NULL,NULL,13.11,0.0,27.82,10.15,0.0,18.16,4.98,76.62,NULL,1.74,427.81,251.73,463.37,0.83,3.1,663.95,NULL,NULL,5.84,493.63,0.38,0.36,4.27,0.15,0.11,0.74,22.39,59.0,1.26,2.12,45.83,NULL,NULL,23.78
7,411.92,7.34,NULL,1.87,NULL,NULL,16.48,9.0,74.41,65.66,0.0,8.75,17.96,93.55,NULL,3.69,570.87,238.19,226.06,0.34,3.31,526.62,NULL,NULL,4.0,432.78,0.53,0.3,1.21,1.16,0.19,0.8,3.32,1.38,1.0,6.42,35.64,NULL,NULL,31.42
8,286.46,11.36,NULL,1.87,NULL,NULL,17.65,5.0,33.16,27.89,0.0,5.28,17.71,396.8,NULL,1.05,927.62,112.71,408.29,0.24,1.41,241.86,NULL,NULL,2.24,5694.84,0.12,0.5,3.45,0.88,0.62,0.7,25.65,NULL,2.79,290.35,157.36,NULL,NULL,12.17
9,522.59,13.65,NULL,4.02,NULL,NULL,17.16,18.26,89.78,79.86,0.0,9.92,57.04,151.13,NULL,1.46,1164.95,120.77,427.56,0.4,3.46,478.07,NULL,NULL,1.97,369.75,0.3,0.61,1.48,2.18,0.63,1.34,21.27,0.89,1.0,6.3,60.48,NULL,NULL,17.71
10,624.99,34.34,NULL,14.96,NULL,NULL,65.68,620.09,12.78,10.6,0.0,2.18,3.15,1103.92,NULL,0.62,919.93,129.0,994.02,0.33,5.85,1154.01,NULL,NULL,4.79,9590.25,0.18,1.37,6.98,3.33,0.5,7.56,4.0,14.97,4.93,269.27,184.62,NULL,NULL,105.74
